nr_contrato,cnpj,nr_orgao,nr_ug,quant_terceirizados
000102023,14.428.415/0001-75,14000,070014,11
000102023,19.152.814/0001-70,26431,158354,2
000102023,23.080.111/0001-50,39250,393001,26
000102023,23.361.040/0001-64,26255,153036,30
000102023,36.990.588/0001-15,20411,343012,1
000102024,03.012.610/0001-01,29000,290002,3
000102024,04.829.840/0001-12,14000,070023,7
000102024,04.900.474/0001-40,15000,080007,61
000102024,08.282.615/0002-40,30108,200370,15
000102024,09.210.284/0001-15,26414,158950,2
000102024,11.162.311/0001-73,30108,200340,8
000102024,11.404.230/0001-32,25000,170040,5
000102024,12.117.963/0001-59,36000,257051,41
000102024,17.695.001/0001-09,26249,153166,7
000102024,17.982.055/0001-47,48002,170075,37
000102024,29.728.762/0001-90,63000,110099,4
000102024,33.131.860/0001-13,26408,158128,4
000102025,04.635.778/0001-28,26434,158139,7
000112016,08.247.960/0001-62,39253,395001,12
000112017,05.969.071/0001-10,26443,155915,28
000112017,08.247.960/0001-62,30203,183025,9
000112017,08.491.163/0001-26,44207,443055,10
000112018,00.899.223/0001-32,26411,158123,9
000112018,09.105.205/0001-06,48002,170190,2
000112018,09.274.298/0001-00,25205,114623,4
000112018,15.312.517/0001-93,22000,130058,16
000112019,06.021.988/0001-51,26443,155910,3
000112019,19.048.341/0001-65,26447,158717,12
000112020,02.531.343/0001-08,26277,154046,140
000112020,03.627.226/0001-05,14000,070014,36
000112020,15.219.654/0001-88,35000,240013,19
000112020,79.283.065/0001-41,30108,200370,48
000112021,00.468.893/0001-02,48002,170032,5
000112021,02.567.270/0001-04,26447,158717,13
000112021,03.727.819/0001-43,39250,393001,2
000112021,09.564.708/0001-40,26412,158305,13
000112021,12.578.927/0001-92,48002,170106,2
000112021,13.258.693/0001-69,26279,154048,39
000112021,22.688.729/0001-35,12000,090013,6
000112021,87.252.938/0001-87,26436,158467,46
000112022,02.567.270/0001-04,30802,200122,23
000112022,04.436.855/0001-10,15000,080018,1
000112022,05.069.154/0001-53,39250,393001,95
000112022,05.613.242/0001-74,44207,443034,6
000112022,05.670.079/0001-81,26411,158123,5
000112022,05.891.583/0001-01,26413,158099,3
000112022,06.234.467/0001-82,26405,158956,5
000112022,08.913.064/0001-95,26410,158378,32
000112022,10.581.285/0001-55,26436,158126,20
000112022,13.019.295/0002-70,26424,158131,39
000112022,16.650.774/0001-06,25208,173039,2
000112022,16.934.245/0001-26,26258,153177,27
000112022,19.069.562/0001-10,20411,343024,2
000112022,24.930.315/0001-04,26251,154419,31
000112022,25.245.628/0001-88,30907,200600,14
000112022,72.581.283/0001-13,52000,112408,68
000112023,03.470.083/0001-70,44207,443034,24
000112023,03.595.040/0001-11,48002,170075,1
000112023,04.718.633/0002-71,30108,200384,1
000112023,08.538.011/0001-31,63000,110161,2
000112023,08.764.312/0001-83,26412,158137,2
000112023,08.812.635/0001-03,48002,170153,50
000112023,10.926.785/0001-81,48002,170055,14
000112023,14.443.309/0001-60,22000,130016,10
000112023,14.690.263/0001-84,26410,158121,10
000112023,15.236.161/0001-56,26262,153031,8
000112023,15.264.093/0001-39,63000,110099,3
000112023,15.790.987/0001-62,61201,113601,10
000112023,17.453.147/0001-30,63000,110097,62
000112023,22.688.729/0001-35,26410,158378,4
000112023,36.006.690/0001-33,26406,158416,1
000112024,02.604.476/0001-67,61201,113601,11
000112024,03.324.949/0001-35,63000,110102,1
000112024,05.613.242/0001-74,44000,440001,16
000112024,08.744.139/0001-51,63000,110099,23
000112024,08.764.312/0001-83,26277,154046,27
000112024,08.805.331/0001-00,63000,110161,4
000112024,09.198.704/0001-95,48002,170064,7
000112024,13.258.899/0001-99,30108,200340,47
000112024,14.444.091/0001-69,52111,120633,16
000112024,17.982.055/0001-47,48002,170075,16
000112024,21.169.120/0001-97,25205,114605,5
000112024,22.652.918/0001-58,48002,170100,28
000112024,23.080.111/0001-50,41231,413012,1
000112024,79.283.065/0001-41,26436,158126,4
000112025,02.425.466/0001-64,15000,080018,3
000112025,12.187.221/0001-08,52000,110511,19
000112025,33.911.328/0001-19,26407,158124,3
000122016,04.558.234/0001-00,39250,393001,4
000122018,06.028.733/0001-10,26448,158718,27
000122019,10.343.472/0001-09,36000,257033,2
000122019,11.162.311/0001-73,37000,370003,40
000122019,12.916.218/0001-70,14000,070023,2
000122019,17.170.518/0001-76,25208,173039,1
000122020,00.482.840/0001-38,20412,403201,3
000122020,02.242.714/0001-31,25208,173039,2
000122020,07.917.508/0001-06,25000,170040,7
000122020,11.140.110/0001-75,48002,170344,2
000122020,11.821.060/0001-91,41231,413012,1
000122020,13.697.422/0001-00,63000,110097,39
000122020,14.991.257/0001-67,48002,170214,9
000122020,79.283.065/0003-03,26258,152134,4
000122021,03.363.962/0001-01,26432,154673,2
000122021,04.312.370/0001-15,63000,110102,27
000122021,04.795.101/0001-57,14000,070004,15
000122021,08.055.277/0001-23,26410,158121,1
000122021,08.538.011/0001-31,48002,170214,13
000122021,10.339.944/0001-41,48002,170055,5
000122021,10.398.338/0001-05,12000,090013,32
000122021,12.891.300/0001-97,22222,925866,11
000122021,14.768.911/0001-78,26404,154618,13
000122021,15.284.363/0001-73,30108,200402,16
000122021,27.704.075/0001-00,26410,158437,4
000122021,73.887.424/0001-93,25205,114601,7
000122022,00.578.617/0001-99,44000,440001,100
000122022,01.248.111/0001-84,25000,170088,3
000122022,03.074.080/0001-18,26405,158324,1
000122022,04.477.223/0001-03,36212,253002,23
000122022,05.132.168/0001-74,25000,170040,3
000122022,09.370.244/0001-30,32000,320004,40
000122022,09.465.148/0001-76,26405,158956,1
000122022,11.453.708/0001-14,30108,200380,18
000122022,15.277.274/0001-08,39250,393001,26
000122022,16.858.536/0001-82,30802,200123,4
000122022,17.310.402/0001-95,26417,158138,3
000122022,17.666.582/0001-42,53202,533013,1
000122022,19.787.877/0001-00,30802,200130,16
000122022,20.948.231/0001-39,63000,110097,1
000122022,28.871.366/0001-55,20411,343024,10
000122022,31.376.361/0001-60,25000,170116,33
000122022,32.996.276/0001-68,48002,170075,17
000122022,72.201.379/0001-09,26258,153177,23
000122023,00.482.840/0001-38,30802,200125,39
000122023,00.712.411/0001-00,61201,113601,28
000122023,02.531.343/0001-08,26407,158124,1
000122023,03.595.040/0001-11,48002,170075,15
000122023,07.442.731/0001-36,26443,155015,70
000122023,09.210.284/0001-15,26403,154783,2
000122023,10.243.854/0001-52,26443,155915,2
000122023,10.321.422/0001-12,42207,343020,2
000122023,10.483.643/0001-97,39250,393001,9
000122023,14.029.530/0001-77,63000,110099,5
000122023,14.770.606/0001-10,26447,158717,2
000122023,20.720.641/0001-28,26262,153031,47
000122023,22.464.922/0001-92,63000,110097,2
000122023,36.990.588/0001-15,63000,110161,1
000122023,37.180.632/0001-94,25208,173039,1
000122023,86.960.598/0001-86,63000,110096,1
000122024,03.324.949/0001-35,63000,110102,7
000122024,07.593.524/0001-82,22000,130058,5
000122024,08.720.790/0001-91,26415,158450,1
000122024,08.744.139/0001-51,63000,110099,18
000122024,11.932.216/0001-01,52111,120633,3
000122024,33.168.659/0001-00,36201,254474,41
000122024,79.283.065/0001-41,26436,158126,11
000122024,79.283.065/0003-03,25205,114623,4
000122025,02.425.466/0001-64,15000,080018,1
000132017,03.765.290/0001-52,44207,443034,12
000132018,14.339.328/0001-41,26413,158311,25
000132018,79.283.065/0003-03,26432,154676,4
000132019,01.724.109/0001-34,14000,070010,5
000132019,04.803.820/0001-72,48002,170055,1
000132019,08.058.662/0001-24,30108,200366,8
000132019,08.475.822/0001-30,14000,070023,7
000132019,12.589.220/0001-81,63000,110099,27
000132019,78.533.312/0001-58,30802,200229,14
000132020,03.394.369/0001-14,30802,200114,11
000132020,04.768.702/0001-70,41231,413001,20
000132020,07.618.334/0001-72,26249,153166,19
000132020,07.989.360/0007-00,39250,393001,136
000132020,15.309.324/0001-83,26417,158138,10
000132020,17.706.732/0001-02,26279,154048,40
000132021,01.727.414/0001-80,48002,170025,11
000132021,01.781.573/0001-62,26255,153036,108
000132021,02.531.343/0001-08,48002,170106,5
000132021,04.350.057/0001-71,12000,090013,30
000132021,05.792.339/0001-91,26436,158467,2
000132021,06.059.231/0001-57,25000,170088,12
000132021,07.474.287/0001-30,26427,158407,6
000132021,07.864.090/0001-08,52121,160345,12
000132021,08.325.767/0001-00,25000,170116,4
000132021,08.475.822/0001-30,14000,070023,7
000132021,08.744.139/0001-51,44000,440001,193
000132021,11.162.311/0001-73,81000,810005,27
000132021,17.949.399/0001-54,20411,343026,2
000132021,19.200.109/0001-09,26251,154419,53
000132021,31.138.821/0001-12,52000,112408,63
000132021,33.104.423/0001-00,26443,155915,51
000132022,02.363.284/0001-06,63000,110097,6
000132022,05.613.242/0001-74,44207,443034,5
000132022,06.234.467/0001-82,25000,170035,2
000132022,09.370.244/0001-30,32000,320004,5
000132022,10.364.152/0003-99,26258,153177,9
000132022,12.578.927/0001-92,48002,170106,2
000132022,13.739.782/0002-08,25000,170116,24
000132022,17.851.596/0001-36,52000,112408,8
000132023,01.017.610/0001-60,26261,153030,28
000132023,01.112.970/0001-41,26418,158466,1
000132023,01.723.789/0001-71,12000,090013,3
000132023,05.233.652/0001-90,48002,170195,11
000132023,05.613.242/0001-74,61201,113601,40
000132023,07.856.241/0001-86,63000,110161,1
000132023,08.247.960/0001-62,52000,110511,3
000132023,08.247.960/0001-62,63000,110096,9
000132023,11.399.787/0001-22,26431,158361,2
000132023,11.834.039/0001-20,26414,158144,3
000132023,11.976.654/0001-71,30108,200380,2
000132023,14.846.479/0001-96,48002,170106,4
000132023,35.000.208/0001-95,29208,495350,4
000132024,00.482.840/0001-38,30203,183039,17
000132024,03.315.120/0001-76,26436,158126,2
000132024,04.451.516/0001-03,36000,257051,12
000132024,04.762.861/0001-68,30108,200406,29
000132024,09.019.150/0001-11,25000,170040,6
000132024,12.147.170/0001-82,26000,150002,73
000132024,15.150.504/0001-65,63000,110096,7
000132024,24.859.617/0001-25,30108,200370,3
000132024,78.533.312/0001-58,63000,110099,3
000132024,84.540.905/0001-44,52000,110511,8
000132024,84.544.469/0001-81,36201,254474,3
000132025,49.560.646/0001-12,26431,154701,2
000142017,05.969.071/0001-10,26443,155915,3
000142018,12.680.681/0001-65,26438,158516,1
000142019,02.566.106/0001-82,20412,403201,34
000142019,04.768.702/0001-70,32000,320004,20
000142019,08.247.960/0001-62,26407,158124,27
000142019,13.892.384/0001-46,26410,158438,2
000142019,14.947.846/0001-48,14000,070023,1
000142019,23.066.228/0001-80,14000,070029,18
000142020,01.573.246/0001-15,39250,393001,56
000142020,03.591.509/0001-44,52000,110404,3
000142020,04.970.088/0001-25,30108,200366,2
000142020,06.028.733/0001-10,26448,158718,78
000142020,07.094.346/0001-45,14000,070017,54
000142020,08.454.328/0001-90,30203,183039,1
000142020,08.644.690/0001-23,26279,154048,24
000142020,10.599.807/0001-46,48002,170106,6
000142020,11.517.550/0001-07,26405,158956,1
000142020,12.891.300/0001-97,29208,495250,4
000142020,18.083.458/0001-17,63000,110099,2
000142020,43.035.146/0051-44,48002,170346,6
000142021,04.407.207/0001-36,30108,200340,20
000142021,04.451.516/0001-03,36000,257051,13
000142021,05.897.975/0001-88,48002,170106,14
000142021,07.339.774/0001-90,26258,150150,1
000142021,07.917.508/0001-06,20301,113201,7
000142021,08.220.952/0001-22,44205,443001,111
000142021,10.325.594/0001-64,26408,158128,24
000142021,13.183.749/0001-63,26448,158718,1
000142021,15.800.344/0001-52,26255,153036,30
000142021,16.698.131/0001-24,26405,158960,2
000142021,17.086.031/0001-00,48002,170055,10
000142021,32.143.627/0001-98,61201,113601,12
000142022,00.283.018/0002-29,26413,159004,6
000142022,03.972.476/0001-82,26405,158314,12
000142022,03.972.476/0001-82,26405,158960,6
000142022,04.145.970/0001-36,26427,158407,12
000142022,09.381.640/0001-63,26403,154783,6
000142022,10.915.151/0001-23,26280,154049,10
000142022,11.399.787/0001-22,26432,158395,4
000142022,17.310.402/0001-95,26417,158138,2
000142022,23.501.536/0001-96,26454,156677,15
000142022,33.930.039/0001-67,48002,170055,4
000142022,72.201.379/0001-09,26258,153029,16
000142022,78.533.312/0001-58,44207,443034,19
000142023,03.637.812/0001-30,26251,154419,1
000142023,05.613.242/0001-74,44205,443001,17
000142023,09.019.150/0001-11,41231,413010,3
000142023,09.224.964/0001-98,48002,170195,9
000142023,13.624.934/0001-46,63000,110097,5
000142023,13.892.384/0001-46,26277,154046,111
000142023,15.790.987/0001-62,61201,113601,3
000142023,17.982.055/0001-47,48002,170075,31
000142023,19.088.605/0001-04,22000,130067,39
000142023,23.890.653/0001-99,48002,170346,16
000142024,02.335.970/0001-73,14000,070004,10
000142024,05.488.891/0001-90,26000,150002,4
000142024,08.112.812/0001-30,48002,170106,4
000142024,08.247.960/0001-62,39250,393001,13
000142024,09.019.150/0001-11,25000,170040,20
000142024,09.540.692/0001-35,36201,254474,3
000142024,12.589.220/0001-81,63000,110099,10
000142024,13.048.109/0001-40,29208,495370,10
000142024,14.037.553/0001-23,20701,193129,15
000142024,19.205.451/0001-93,25000,170058,3
000142024,26.427.482/0001-54,48002,170195,82
000142024,27.027.590/0001-00,63000,110161,5
000142024,34.823.417/0001-76,26258,153178,3
000142024,39.420.336/0001-49,63000,110102,24
000142024,57.429.045/0001-01,26280,154049,4
000142025,12.993.119/0001-91,26435,154838,5
000142025,15.014.790/0001-31,32396,323102,4
000152018,00.087.163/0001-53,29209,275075,17
000152019,02.566.106/0001-82,20412,403201,2
000152020,10.609.260/0001-12,52000,110511,5
000152020,57.183.816/0001-15,22000,130103,2
000152021,01.436.782/0001-79,30203,183023,56
000152021,03.591.509/0001-44,26421,158342,10
000152021,06.303.138/0001-46,25000,170156,6
000152021,09.406.386/0001-00,26403,158562,3
000152021,10.565.121/0001-34,22000,130060,8
000152021,12.187.221/0001-08,61201,113601,9
000152021,25.245.628/0001-88,48002,170106,2
000152022,05.897.975/0001-88,26275,154044,46
000152022,06.697.330/0001-64,63000,110097,12
000152022,07.213.179/0001-04,61201,113601,7
000152022,11.399.787/0001-22,26432,158395,6
000152022,13.165.161/0001-87,30802,200111,17
000152022,17.310.402/0001-95,26417,158138,5
000152022,21.419.761/0001-52,26420,158269,2
000152022,31.733.766/0001-09,12000,090013,4
000152022,38.054.508/0001-45,52000,110404,4
000152022,78.533.312/0001-58,44207,443034,4
000152023,00.712.411/0001-00,61201,113601,7
000152023,05.670.079/0001-81,48002,170085,44
000152023,07.094.346/0001-45,63000,110792,16
000152023,10.926.785/0001-81,63000,110096,20
000152023,11.162.311/0001-73,32000,320004,25
000152023,14.842.018/0001-45,26413,158099,5
000152023,15.312.517/0001-93,12000,090013,4
000152023,18.125.445/0001-63,26432,158395,9
000152023,19.088.605/0001-04,22000,130067,19
000152023,19.890.499/0001-88,29000,290002,4
000152023,20.548.612/0001-20,48002,170195,114
000152023,26.583.095/0001-07,26443,155914,8
000152023,31.376.361/0001-60,30000,200247,36
000152024,07.330.029/0001-80,29208,495130,13
000152024,08.744.139/0001-51,63000,110161,71
000152024,08.764.312/0001-83,26255,153036,16
000152024,12.256.355/0001-25,30108,200390,1
000152024,17.982.055/0001-47,25000,170035,11
000152024,24.260.125/0001-19,63000,110096,15
000152024,27.746.003/0001-25,63000,110099,7
000162015,20.204.491/0001-08,20202,114702,6
000162016,10.364.152/0002-08,39250,393001,1
000162019,06.205.427/0001-02,26247,153164,274
000162019,11.399.787/0001-22,26431,158354,14
000162019,13.892.384/0001-46,26410,158439,1
000162019,14.110.682/0002-80,41231,413011,7
000162019,14.428.415/0001-75,48002,170085,34
000162020,00.482.840/0001-38,63000,110099,2
000162020,02.567.270/0001-04,26264,153033,3
000162020,07.229.577/0001-19,52000,110511,4
000162020,08.644.690/0001-23,26279,154048,84
000162020,10.013.974/0001-63,26431,158354,4
000162020,85.240.869/0001-66,14000,070001,37
000162021,02.416.859/0001-01,48002,170153,16
000162021,02.425.466/0001-64,63000,110096,5
000162021,07.262.535/0001-80,30108,200406,32
000162021,11.661.499/0001-02,26425,158156,1
000162021,11.933.418/0001-78,26258,153177,4
000162021,13.892.384/0001-46,26410,158438,38
000162021,19.486.949/0001-71,25000,170156,10
000162022,01.436.782/0001-79,20301,113202,25
000162022,05.613.242/0001-74,44207,443034,1
000162022,05.975.166/0001-47,26427,158407,20
000162022,10.439.655/0001-14,26454,156677,13
000162022,17.764.365/0001-95,20411,343026,6
000162022,34.849.836/0001-87,30802,200111,13
000162023,03.144.992/0001-19,22000,130067,21
000162023,03.363.962/0001-01,48002,170153,17
000162023,05.969.071/0001-10,26258,153177,15
000162023,05.975.166/0001-47,26404,158277,9
000162023,13.624.934/0001-46,30203,183039,32
000162023,15.790.987/0001-62,61201,113601,6
000162023,16.650.774/0001-06,48002,170085,2
000162023,22.688.729/0001-35,22000,130058,10
000162023,24.173.371/0001-33,63000,110161,1
000162024,07.928.761/0001-57,26403,158562,1
000162024,13.566.782/0001-72,48002,170195,41
000162024,19.972.593/0001-86,63000,110102,5
000162024,36.145.599/0001-07,63000,110099,3
000162025,05.228.723/0001-66,26417,158138,1
000162025,15.219.654/0001-88,29208,495110,5
000162025,21.992.832/0001-01,17000,040003,4
000172017,09.274.298/0001-00,30203,183039,3
000172018,02.425.466/0001-64,26405,158958,2
000172018,04.213.923/0001-82,24000,240123,2
000172018,10.439.655/0001-14,44207,443048,1
000172019,05.014.372/0001-90,20412,403201,19
000172019,08.058.662/0001-24,26258,153177,18
000172019,12.935.143/0001-74,26262,153031,22
000172019,23.370.473/0001-86,26417,156690,2
000172019,23.966.754/0001-04,36000,257042,22
000172020,02.685.728/0005-53,26000,150002,267
000172020,07.094.346/0001-45,30204,183038,73
000172020,09.459.901/0001-10,37000,370003,46
000172020,11.842.881/0001-04,26279,154048,112
000172020,17.276.467/0001-61,14000,070014,1
000172020,19.045.361/0001-82,26443,155910,5
000172020,21.526.143/0001-01,30802,200111,13
000172020,72.591.894/0001-42,30108,200406,20
000172021,02.531.343/0001-08,26283,154054,129
000172021,03.394.369/0001-14,48002,170075,57
000172021,06.303.138/0001-46,14000,070019,11
000172021,06.303.138/0001-46,25000,170156,8
000172021,08.913.064/0001-95,26404,158435,3
000172021,11.056.054/0001-95,14000,070028,4
000172021,12.891.300/0001-97,22222,925866,9
000172021,28.254.336/0001-08,26262,153031,6
000172021,29.200.238/0001-42,30802,200111,1
000172021,78.533.312/0001-58,30203,183039,48
000172021,85.240.869/0001-66,15000,080026,7
000172022,00.482.840/0001-38,36201,254422,10
000172022,04.451.516/0001-03,36000,257051,12
000172022,05.670.079/0001-81,25000,170088,31
000172022,06.234.467/0001-82,15000,080018,3
000172022,07.593.524/0001-82,14000,070014,1
000172022,08.247.960/0001-62,26000,150002,76
000172022,08.491.163/0001-26,20301,113202,17
000172022,08.538.011/0001-31,26253,153034,92
000172022,10.439.655/0001-14,26454,156677,20
000172022,13.993.675/0001-20,30108,200380,1
000172023,00.205.480/0001-27,26258,153177,1
000172023,01.248.111/0001-84,63000,110097,3
000172023,03.637.812/0001-30,26457,156763,9
000172023,06.303.138/0001-46,26262,153031,9
000172023,12.313.874/0001-88,14000,070017,94
000172023,23.361.040/0001-64,63000,110096,45
000172023,24.173.371/0001-33,63000,110161,1
000172024,00.427.475/0001-69,26443,155903,5
000172024,01.771.692/0001-34,63000,110096,4
000172024,02.531.343/0001-08,30108,200402,10
000172024,07.094.346/0001-45,39250,393001,15
000172024,07.738.828/0002-71,63000,110099,5
000172024,09.019.150/0001-11,26431,155199,1
000172024,09.282.163/0001-89,26000,150002,97
000172024,18.891.594/0001-33,26435,154838,7
000172024,39.540.572/0001-07,63000,110097,4
000172024,79.283.065/0003-03,30108,200364,53
000172025,37.180.632/0001-94,41231,413004,2
000182017,02.764.609/0001-62,26425,158156,54
000182017,39.750.831/0001-16,44207,443033,50
000182018,06.205.427/0001-02,26404,158277,10
000182019,08.058.662/0001-24,26258,153177,28
000182019,09.172.237/0001-24,30108,200378,24
000182019,12.904.815/0001-84,14000,070017,32
000182019,14.068.592/0001-98,26417,158138,4
000182019,22.688.729/0001-35,26413,158099,5
000182019,36.770.857/0001-38,14000,070025,5
000182020,01.099.686/0001-82,52000,110404,7
000182020,08.644.690/0001-23,26279,154048,20
000182020,26.193.020/0001-10,39250,393001,4
000182021,02.567.270/0001-04,26443,155015,133
000182021,04.321.961/0002-30,30203,183039,32
000182021,06.303.138/0001-46,25000,170156,12
000182021,08.562.228/0001-87,22000,130056,4
000182021,17.004.212/0001-40,39250,393001,12
000182021,72.201.379/0001-09,26258,153176,35
000182022,02.567.270/0001-04,26417,158138,36
000182022,04.427.309/0001-13,44207,443034,2
000182022,05.670.079/0001-81,25000,170088,12
000182022,06.234.467/0001-82,15000,080018,3
000182022,07.094.346/0001-45,29000,290002,20
000182022,10.685.746/0001-30,14000,070008,1
000182022,13.019.295/0005-13,30000,200247,7
000182022,19.428.087/0001-20,39250,393001,1
000182022,28.005.337/0001-00,63000,110099,4
000182022,79.283.065/0001-41,26438,158516,3
000182022,97.524.585/0001-80,26410,158438,1
000182023,05.305.430/0001-35,26431,158354,15
000182023,07.293.803/0001-20,26443,156956,4
000182023,12.139.246/0001-28,26262,153031,7
000182024,01.114.245/0001-02,39250,393001,45
000182024,04.407.207/0001-36,32000,320004,26
000182024,04.808.914/0002-15,63000,110096,7
000182024,36.990.588/0001-15,63000,110161,2
000182025,14.873.359/0001-88,26431,158362,1
000192017,08.901.037/0001-00,25208,173039,1
000192018,10.732.146/0001-85,26405,158973,4
000192019,00.482.840/0001-38,12000,090013,7
000192019,03.872.129/0001-88,25203,173030,12
000192019,04.552.404/0001-49,26260,153028,26
000192019,05.069.154/0001-53,15000,080018,2
000192019,16.207.888/0001-78,30802,200130,18
000192020,03.372.304/0001-78,30204,183038,4
000192020,72.619.976/0001-58,62201,113214,4
000192021,02.983.562/0001-28,26414,158144,1
000192021,05.665.521/0001-81,48002,170055,3
000192021,06.303.138/0001-46,25000,170156,3
000192021,09.019.150/0001-11,26431,158146,4
000192021,11.301.568/0001-69,26258,153176,6
000192021,18.206.476/0001-49,26404,158443,19
000192021,21.409.713/0001-83,26448,158718,16
000192022,02.453.554/0001-70,26419,158265,3
000192022,02.567.270/0001-04,26417,158138,1
000192022,04.427.309/0001-13,44207,443034,2
000192022,06.234.467/0001-82,15000,080018,1
000192022,06.234.467/0001-82,48002,170055,4
000192022,07.447.264/0001-37,63000,110099,9
000192022,08.312.139/0001-82,26280,156403,7
000192022,10.874.523/0001-10,29208,495500,10
000192022,12.978.051/0001-71,30108,200340,7
000192022,14.188.651/0001-61,48002,170075,14
000192022,26.535.662/0004-00,36201,254474,6
000192022,27.445.021/0001-77,25000,170088,2
000192023,10.321.422/0001-12,42207,343020,2
000192023,11.162.311/0001-73,26428,158143,4
000192023,57.183.816/0001-15,30108,200364,8
000192024,06.028.733/0001-10,24000,240125,18
000192024,08.112.812/0001-30,48002,170106,4
000192024,08.899.440/0001-34,41231,413009,5
000192024,13.892.384/0001-46,26443,155903,26
000192024,14.932.346/0001-32,26414,158970,1
000192024,15.014.790/0001-31,26419,158265,1
000192024,23.941.500/0001-23,25000,170116,14
000192024,39.969.360/0001-31,22000,130058,21
000192024,84.590.900/0001-26,26405,158322,11
000202017,07.213.179/0001-04,30203,183025,9
000202018,13.668.695/0001-26,44207,443034,2
000202019,01.696.924/0001-37,26277,154046,36
000202019,04.552.404/0001-49,26260,153028,279
000202019,05.956.304/0001-40,48002,170114,13
000202020,79.283.065/0003-03,26258,153176,41
000202021,02.567.270/0001-04,26447,158717,11
000202021,06.303.138/0001-46,25000,170156,5
000202021,06.926.324/0001-31,48002,170153,13
000202021,10.280.060/0001-69,26404,158443,10
000202021,11.349.160/0001-67,15000,080016,6
000202021,19.877.300/0001-81,15000,080018,8
000202021,21.603.466/0001-51,48002,170114,44
000202022,02.567.270/0001-04,26417,158138,4
000202022,08.328.682/0001-78,26402,158147,1
000202022,15.277.274/0001-08,26262,153031,4
000202022,17.433.496/0002-70,29208,495260,5
000202022,19.205.451/0001-93,48002,170055,3
000202022,21.419.761/0001-52,14000,070023,3
000202022,27.581.238/0001-04,14000,070017,10
000202023,03.563.322/0001-37,26264,153033,120
000202023,10.446.523/0001-10,14000,070023,2
000202023,11.004.866/0001-97,14000,070004,1
000202023,11.301.568/0001-69,26432,158009,16
000202023,78.533.312/0001-58,63000,110792,25
000202024,01.099.686/0001-82,20411,343026,102
000202024,05.228.723/0001-66,26413,159001,1
000202024,05.899.350/0001-55,26408,158128,13
000202024,07.473.476/0002-70,26280,154049,66
000202024,08.112.812/0001-30,25000,170018,18
000202024,08.112.812/0001-30,48002,170106,5
000202024,08.247.960/0001-62,32000,320004,23
000202024,10.364.152/0003-99,25000,170156,103
000202024,23.941.500/0001-23,63000,110096,1
000202024,38.318.284/0001-31,44207,443034,6
000212017,07.213.179/0001-04,30203,183025,1
000212018,00.482.840/0001-38,14000,070017,8
000212018,01.248.111/0001-84,44207,443034,6
000212018,05.554.220/0001-80,26417,158138,10
000212018,06.697.330/0001-64,63000,110097,4
000212019,03.575.979/0001-14,25208,173039,1
000212020,08.247.960/0001-62,32000,320004,22
000212020,12.891.300/0001-97,22222,925866,25
000212020,17.482.916/0001-28,26258,153176,2
000212020,20.051.756/0001-77,26417,158138,3
000212020,27.326.594/0001-81,41231,413008,3
000212021,02.604.476/0001-67,30802,200109,21
000212021,06.303.138/0001-46,25000,170156,5
000212021,34.036.212/0001-40,32314,325001,20
000212021,73.833.360/0001-48,20203,203003,12
000212022,02.567.270/0001-04,26417,158138,6
000212022,04.365.758/0001-84,26436,158126,6
000212022,04.407.207/0001-36,32000,320004,19
000212022,05.353.545/0001-03,36201,254462,81
000212022,07.795.609/0001-43,36201,254463,1
000212022,10.547.708/0001-10,48002,170055,17
000212022,17.927.338/0001-96,26262,153031,1
000212022,27.943.494/0001-02,39250,393001,3
000212022,79.894.168/0001-48,30802,200229,21
000212023,05.276.049/0001-95,63000,110792,82
000212023,10.624.865/0001-82,63000,110096,17
000212024,02.425.466/0001-64,63000,110096,2
000212024,02.604.476/0001-67,32000,320004,22
000212024,02.764.609/0001-62,63000,110161,4
000212024,05.457.677/0008-43,25000,170156,1
000212024,06.088.000/0005-03,25000,170018,27
000212024,07.094.346/0001-45,26000,150002,7
000212024,10.533.299/0001-01,26436,158126,5
000212024,26.427.482/0001-54,26352,154503,2
000212024,36.999.552/0001-00,39250,393001,1
000222017,04.762.861/0001-68,26443,155010,62
000222017,07.213.179/0001-04,30203,183025,5
000222018,05.554.220/0001-80,26417,158138,4
000222019,08.441.389/0001-12,26443,155915,8
000222020,10.330.342/0001-23,26258,153176,3
000222020,14.690.263/0001-84,26410,158121,5
000222021,00.482.840/0001-38,63000,110099,2
000222021,01.724.109/0001-34,14000,070010,8
000222021,02.531.343/0001-08,26255,153036,21
000222021,06.814.143/0001-13,26447,158717,8
000222021,10.325.594/0001-64,26408,158456,17
000222021,13.892.384/0001-46,26410,158439,20
000222021,21.514.277/0001-02,26438,158516,13
000222022,06.234.467/0001-82,26417,158138,4
000222022,10.325.594/0001-64,15000,080018,37
000222022,13.277.344/0002-75,14000,070023,2
000222022,17.303.236/0001-08,26436,158126,3
000222022,40.170.029/0001-36,48002,170114,126
000222023,05.488.891/0001-90,26415,158132,1
000222023,08.913.064/0001-95,26410,158377,2
000222023,10.685.746/0001-30,14000,070008,4
000222023,16.505.678/0001-66,29208,495350,4
000222023,18.689.359/0001-83,29000,290002,1
000222024,03.591.509/0001-44,26000,150002,8
000222024,04.629.488/0001-71,25000,170156,94
000222024,05.969.071/0001-10,25000,170010,80
000222024,09.564.708/0001-40,22000,130058,18
000222024,10.321.422/0001-12,26443,155903,24
000222024,10.364.152/0002-08,26436,158126,4
